0	0	1	0	1	1	1	1	1	1	.	42.68	45.11	52.75	60.45	59.88	0	1	0	1	1	1	0.014	0.982	0	0.004	2	1040	2	0	1	0	0.978	0.002	0	0.02	1
1	1	1	1	1	1	1	1	0	1	.	46.17	56.87	65.87	71.17	.	0	.	.	.	.	.	0.957	0.043	0	0	1	1041	2	.	1	1	0.788	0.05	0	0.162	1
0	0	0	0	0	1	0	0	0	0	0	42.98	55.82	59.89	.	.	0	1	0	1	1	1	0	0	0.117	0.883	4	1043	2	0	0	0	0	0.145	0.807	0.048	3
0	1	0	0	0	.	.	.	.	.	.	.	38.22	.	.	.	0	.	.	.	.	.	0.001	0	0.999	0	3	1044	.	.	.	.	.	.	.	.	.
0	0	0	0	1	0	1	1	1	1	0	71.87	75.91	88.97	95.35	97.56	0	1	0	1	1	1	0.001	0.763	0	0.236	2	1045	2	0	1	0	0.91	0.011	0	0.079	1
1	0	0	1	1	.	.	.	.	.	0	47.83	39.21	.	.	.	1	.	.	.	.	.	0.031	0.964	0	0.006	2	1046	.	.	.	.	.	.	.	.	.
0	0	1	0	1	.	.	.	.	.	0	51.44	55.69	.	.	.	1	.	.	.	.	.	0.014	0.982	0	0.004	2	1047	.	.	.	.	.	.	.	.	.
1	1	0	0	1	0	0	0	0	0	0	55.21	59.68	69.05	68.39	72.27	1	0	0	0	0	0	0.121	0.879	0	0	2	1052	2	0	0	0	0	0.041	0.951	0.009	3
1	0	1	0	0	1	0	0	0	0	.	59.71	60.41	64.9	68.23	66.62	1	0	1	1	0	1	0.002	0	0.977	0.021	3	1054	2	0	0	0	0	0.145	0.807	0.048	3
0	0	0	1	1	.	0	1	1	0	.	34.75	35.6	41.58	.	.	1	.	.	.	.	.	0.008	0.965	0	0.026	2	1057	2	.	1	1	0.06	0.67	0.06	0.211	2
1	0	0	0	0	0	0	0	0	1	0	62.46	60.06	.	.	.	1	1	1	1	1	1	0	0	0.307	0.693	4	1060	2	1	1	1	0.001	0.066	0.117	0.815	4
0	0	1	1	1	.	.	.	.	.	0	41.7	.	.	.	.	0	.	.	.	.	.	0.122	0.877	0	0	2	1063	.	.	.	.	.	.	.	.	.
0	0	1	1	0	.	.	.	.	.	0	37.71	37.06	42.63	37.07	45.05	1	0	1	1	.	.	0.011	0	0.972	0.017	3	1064	.	.	.	.	.	.	.	.	.
1	1	0	0	1	1	1	1	1	1	.	57.98	58.33	72.4	70.62	65.2	1	1	0	1	1	1	0.121	0.879	0	0	2	1065	2	0	1	0	0.978	0.002	0	0.02	1
1	1	1	1	1	0	0	1	0	1	0	44.78	46.13	62.02	66.79	65.68	1	1	1	1	1	0	0.957	0.043	0	0	1	1066	2	0	0	0	0.026	0.195	0.011	0.768	4
1	1	1	1	0	0	0	1	0	0	.	55.64	.	61.88	.	.	1	0	0	0	1	0	0.65	0	0.35	0	1	1067	2	0	0	0	0	0.548	0.415	0.037	2
0	0	0	0	0	1	1	0	0	1	.	53.24	48.98	73.3	73.82	79.79	1	0	0	0	0	0	0	0	0.117	0.883	4	1071	2	0	0	0	0.13	0.078	0.001	0.791	4
1	1	1	1	1	1	0	0	0	0	0	63.07	58.99	75.08	74.7	70.44	0	1	1	1	1	1	0.957	0.043	0	0	1	1072	2	1	1	1	0	0.145	0.807	0.048	3
1	0	0	0	0	1	0	0	1	0	0	55.85	.	74.62	75.08	74.75	0	1	1	1	1	1	0	0	0.307	0.693	4	1073	2	1	1	1	0.004	0.299	0.351	0.346	3
0	0	0	0	0	.	.	.	.	.	0	53.17	62.73	.	.	.	0	.	.	.	.	.	0	0	0.117	0.883	4	1076	.	.	.	.	.	.	.	.	.
1	0	0	0	0	.	.	.	.	.	0	47.8	46.29	.	.	.	1	.	.	.	.	.	0	0	0.307	0.693	4	1079	.	.	.	.	.	.	.	.	.
1	0	1	0	0	1	1	1	1	1	0	42.04	38.93	39.7	48.05	40.68	0	1	1	1	1	1	0.002	0	0.977	0.021	3	1080	2	1	1	1	0.978	0.002	0	0.02	1
0	0	0	0	0	.	.	.	.	.	0	37.08	46.76	.	52.39	.	1	.	.	.	.	.	0	0	0.117	0.883	4	1082	.	.	.	.	.	.	.	.	.
1	0	1	0	0	0	0	0	0	0	0	47.43	55.88	55.81	65.72	.	1	.	.	.	.	.	0.002	0	0.977	0.021	3	1086	2	.	1	1	0	0.041	0.951	0.009	3
0	1	0	0	0	0	0	0	0	0	.	58.57	57.73	56.38	62.04	60.11	1	1	1	1	1	1	0.001	0	0.999	0	3	1087	2	1	1	1	0	0.041	0.951	0.009	3
