casenum,cohort,female,minority,ab39m,ab39t,ab39u,ab39w,ab39x,ga33a,ga33h,ga33i,ga33k,ga33l,math_g7,math_g10,math_g12,op_know,op_know2,siok,siok2
4039,2,0,0,0,1,0,0,1,9999,9999,9999,9999,9999,31.52,9999,9999,1,1,1,1
5373,2,1,0,1,1,1,1,1,1,1,1,1,1,67.35,78.21,9999,0.67,0,0.56,0
1033,2,0,0,1,0,1,0,1,1,1,1,0,1,44.24,45.14,52.57,0.67,0,0.78,0
2418,2,0,9999,0,0,1,0,0,0,0,0,0,0,43.59,9999,27.01,0,0,0.75,0
5318,2,1,0,0,1,0,1,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
1794,2,0,0,0,1,1,1,1,0,1,0,0,0,48.83,53.98,62.6,0.33,0,0.11,0
2212,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,40.21,9999,9999,9999,9999,9999,9999
1324,2,0,1,1,1,1,0,1,9999,9999,9999,9999,9999,42.71,9999,9999,9999,9999,9999,9999
1681,2,0,1,1,1,1,0,1,9999,9999,9999,9999,9999,33.85,35.97,9999,9999,9999,9999,9999
4916,2,1,0,1,0,0,1,1,0,1,1,1,1,49.85,9999,9999,9999,9999,9999,9999
2310,2,1,1,0,0,0,0,0,0,0,0,0,0,52.57,55.21,56.85,0,0,0,0
1382,2,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,35.06,48.05,9999,9999,9999,9999,9999
1497,2,0,0,1,0,0,1,0,9999,9999,9999,9999,9999,49.09,9999,9999,9999,9999,9999,9999
4615,2,1,0,1,0,0,0,0,0,0,0,0,0,49.83,51.28,55.24,0,0,0.12,0
1614,2,0,1,1,0,0,0,0,1,0,0,0,0,35.98,31.86,45.49,0.33,0,0.33,0
1577,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,37.6,9999,9999,9999,9999,9999,9999
1656,2,1,1,1,1,1,1,1,9999,9999,9999,9999,9999,46.66,9999,9999,1,1,1,1
1791,2,0,0,1,1,1,1,1,9999,9999,9999,9999,9999,42.43,9999,9999,9999,9999,9999,9999
5650,2,1,1,1,0,0,0,1,0,0,1,0,0,46.79,59.77,9999,1,1,1,1
2407,2,1,0,0,0,0,0,0,9999,9999,9999,9999,9999,57.68,9999,9999,9999,9999,9999,9999
4924,2,0,0,1,1,1,1,0,9999,9999,9999,9999,9999,57.58,71.65,9999,1,1,1,1
2109,2,0,1,0,0,0,0,0,0,1,0,0,0,42.12,46.01,9999,9999,9999,9999,9999
2396,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,44.21,9999,9999,9999,9999,9999,9999
1301,2,1,1,1,1,1,1,0,9999,9999,9999,9999,9999,46.59,9999,9999,9999,9999,9999,9999
4853,2,1,0,1,1,1,1,1,1,1,1,1,1,36.78,43.51,50.27,0,0,0,0
2834,2,1,1,1,1,1,1,1,0,0,1,0,1,44.06,39.89,36.18,1,1,0.78,0
1774,2,0,0,0,0,0,0,0,0,0,0,0,0,34.74,35.72,9999,9999,9999,9999,9999
3830,2,0,1,0,0,0,1,1,1,1,1,1,1,36.86,57.5,9999,1,1,1,1
6426,2,0,1,0,0,0,1,1,9999,9999,9999,9999,9999,34.65,9999,9999,9999,9999,9999,9999
5401,2,1,0,0,0,0,1,0,9999,9999,9999,9999,9999,57.84,9999,9999,9999,9999,9999,9999
6085,2,0,1,0,1,1,1,1,1,1,1,1,1,41.62,46.97,9999,1,1,1,1
2132,2,1,1,0,0,0,1,1,1,1,0,0,0,35.41,48.57,37.24,1,1,1,1
4309,2,1,1,0,0,0,0,0,9999,9999,9999,9999,9999,36.27,9999,9999,9999,9999,9999,9999
2561,2,1,1,0,1,1,1,1,1,1,1,1,1,32.04,9999,51.34,1,1,0.33,0
1259,2,0,1,1,1,1,1,1,9999,9999,9999,9999,9999,34.72,9999,9999,9999,9999,9999,9999
3882,2,1,1,1,1,0,1,1,1,1,1,1,1,60.08,82.14,79.43,0.67,0,0.78,0
5023,2,0,1,1,1,1,1,1,9999,9999,9999,9999,9999,41.88,9999,9999,9999,9999,9999,9999
6809,2,0,0,0,0,0,0,0,9999,9999,9999,9999,9999,42.35,9999,9999,9999,9999,9999,9999
3782,2,0,1,1,1,1,1,1,9999,9999,9999,9999,9999,41.94,9999,9999,9999,9999,9999,9999
3046,2,0,1,0,0,0,0,0,9999,9999,9999,9999,9999,33.67,9999,9999,9999,9999,9999,9999
1521,2,0,1,1,1,1,1,1,1,1,1,1,1,41.28,43.78,9999,9999,9999,9999,9999
3345,2,0,0,1,0,1,1,1,1,1,1,1,1,38.45,37.49,9999,9999,9999,9999,9999
4501,2,1,1,0,1,1,1,0,9999,9999,9999,9999,9999,39.9,9999,80.4,0.33,0,0.22,0
1908,2,0,0,1,0,0,0,0,9999,9999,9999,9999,9999,43.38,9999,9999,9999,9999,9999,9999
